Название в программе;Нормализованное название в программе;Найденное совпадение в exercise DB;DB id;Confidence score;Статус;Причина;Предлагаемый alias;Встречается в программах;Кол-во course_id;Кол-во lesson_id;Muscle group DB;Pattern DB;Target zone DB;DB has video;Второй кандидат;Score второго кандидата;Пример raw/comment
Пуловер со штангой;пуловер со штангой;"Пуловер со штангой, техника выполнения упражнения";table_067;1;exact_match;Нормализованные названия совпадают полностью.;;87;44;87;спина;пуловер;Широчайшие;true;"Отходы со штангой, техника выполнения упражнения";0.498;Упражнение 2: Пуловер со штангой 4 подходов x 12 раз | Упражнение 2: Пуловер со штангой 4 подходов x 12 раз | Упражнение 3: Пуловер со штангой 4 подходов x 10 раз
Классический подъем на бицепс в кроссовере;классический подъем на бицепс в кроссовере;"Классический подъем на бицепс в кроссовере, техника выполнения упражнения";table_173;1;exact_match;Нормализованные названия совпадают полностью.;;86;46;86;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс спиной к кроссоверу, техника выполнения упражнения";0.655;Упражнение 7: Классический подъем на бицепс в кроссовере 4 подходов x 12 раз | Упражнение 7: Классический подъем на бицепс в кроссовере 4 подходов x 12 раз | Упражнение 6: Классический подъем на бицепс в кроссовере 4 подходов x 15 раз
Планка на босу под ногами;планка на босу под ногами;"Планка на босу под ногами, техника выполнения упражнения";table_094;1;exact_match;Нормализованные названия совпадают полностью.;;86;41;86;пресс;стабилизация;Кор;true;"Планка на босу, техника выполнения упражнения";0.88;Упражнение 6: Планка на босу под ногами 4 подходов x 30 сек | Упражнение 6: Планка на босу под ногами 4 подходов x 30 сек | Упражнение 7: Планка на босу под ногами 4 подходов x 1 мин
"Тяга ""Арбалет"" на заднюю дельту";тяга арбалет на заднюю дельту;"Тяга ""Арбалет"" на заднюю дельту, техника выполнения упражнения";table_091;1;exact_match;Нормализованные названия совпадают полностью.;;84;40;84;плечи задняя деьта;разведение плеча;Задняя дельта;true;"Махи дерижер на заднюю дельту, техника выполнения упражнения";0.495;"Упражнение 4: Тяга ""Арбалет"" на заднюю дельту 4 подходов x 12 раз | Упражнение 4: Тяга ""Арбалет"" на заднюю дельту 4 подходов x 15 раз | Упражнение 4: Тяга ""Арбалет"" на заднюю дельту 4 подходов x 12 раз"
Косые скручивания с мячом;косые скручивания с мячом;"Косые скручивания с мячом, техника выполнения упражнения";table_095;1;exact_match;Нормализованные названия совпадают полностью.;;83;41;83;пресс;скручивание;Косые мышцы живота;true;"Прямые скручивания с мячом, техника выполнения упражнения";0.667;Упражнение 5: Косые скручивания с мячом 4 подходов x 20 раз | Упражнение 5: Косые скручивания с мячом 4 подходов x 20 раз | Упражнение 5: Косые скручивания с мячом 4 подходов x 20 раз
Сведение рук в кроссовере;сведение рук в кроссовере;"Сведение рук в кроссовере, техника выполнения упражнения";table_007;1;exact_match;Нормализованные названия совпадают полностью.;;80;48;80;грудь;сведение рук;Большие грудные;true;"Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения";0.92;Упражнение 3: Сведение рук в кроссовере 4 подходов x 10 раз | Упражнение 3: Сведение рук в кроссовере 4 подходов x 15 раз | Упражнение 3: Сведение рук в кроссовере 4 подходов x 10 раз
Планка с перестановкой ног;планка с перестановкой ног;"Планка с перестановкой ног, техника выполнения упражнения";table_108;1;exact_match;Нормализованные названия совпадают полностью.;;79;43;79;пресс;стабилизация;Кор;true;"Планка с перестановкой ног и рук, техника выполнения упражнения";0.92;Упражнение 7: Планка с перестановкой ног 4 подходов x 30 сек | Упражнение 7: Планка с перестановкой ног 4 подходов x 30 сек | Упражнение 4: Планка с перестановкой ног 4 подходов x 45 сек
Выпады с гантелями;выпады с гантелями;"Выпады с гантелями, техника выполнения упражнения";table_003;1;exact_match;Нормализованные названия совпадают полностью.;;77;45;77;ноги;выпад;Квадрицепс / ягодицы;true;"Выпады в смитте, техника выполнения упражнения";0.461;Упражнение 2: Выпады с гантелями 4 подходов x 8 раз | Упражнение 2: Выпады с гантелями 4 подходов x 8 раз | Упражнение 2: Выпады с гантелями 4 подходов x 8 раз
Вертикальная тяга узким хватом;вертикальная тяга узким хватом;"Вертикальная тяга узким хватом, техника выполнения упражнения";table_004;1;exact_match;Нормализованные названия совпадают полностью.;;76;52;76;спина;вертикальная тяга;Широчайшие;true;"Вертикальная тяга, техника выполнения упражнения";0.88;Упражнение 2: Вертикальная тяга узким хватом 4 подходов x 12 раз | Упражнение 2: Вертикальная тяга узким хватом 4 подходов x 12 раз | Упражнение 2: Вертикальная тяга узким хватом 4 подходов x 10 раз
Жим штанги лежа;жим штанги лежа;"Жим штанги лёжа, техника выполнения упражнения";table_149;1;exact_match;Нормализованные названия совпадают полностью.;;76;27;76;грудь;горизонтальный жим;Средняя грудь;true;"Жим гантелей лёжа, техника выполнения упражнения";0.61;Упражнение 1: Жим штанги лежа 4 подходов x 12 раз | Упражнение 1: Жим штанги лежа 4 подходов x 12 раз | Упражнение 1: Жим штанги лежа 4 подходов x 8 раз
Отжимания на брусьях в гравитроне;отжимания на брусьях в гравитроне;"Отжимания на брусьях в гравитроне, техника выполнения упражнения";table_138;1;exact_match;Нормализованные названия совпадают полностью.;;74;39;74;трицепс;вертикальный жим;Нижняя грудь / трицепс;true;"Отжимания на брусьях, техника выполнения упражнения";0.88;Упражнение 4: Отжимания на брусьях в гравитроне 4 подходов x 12 раз | Упражнение 4: Отжимания на брусьях в гравитроне 4 подходов x 12 раз | Упражнение 7: Отжимания на брусьях в гравитроне 4 подходов x 10 раз
Французский жим с гантелями;французский жим с гантелями;"Французский жим с гантелями, техника выполнения упражнения";table_159;1;exact_match;Нормализованные названия совпадают полностью.;;73;42;73;трицепс;разгибание локтя;Трицепс;true;"Французский жим гантели стоя, техника выполнения упражнения";0.879;Упражнение 5: Французский жим с гантелями 4 подходов x 10 раз | Упражнение 5: Французский жим с гантелями 4 подходов x 10 раз | Упражнение 5: Французский жим с гантелями 4 подходов x 10 раз
Жим гантелей лежа;жим гантелей лежа;"Жим гантелей лёжа, техника выполнения упражнения";table_047;1;exact_match;Нормализованные названия совпадают полностью.;;71;38;71;грудь;горизонтальный жим;Средняя грудь;true;"Жим гантелей сидя, техника выполнения упражнения";0.649;Упражнение 2: Жим гантелей лежа 4 подходов x 8 раз | Упражнение 1: Жим гантелей лежа 4 подходов x 12 раз | Упражнение 2: Жим гантелей лежа 4 подходов x 8 раз
Гиперэкстензия;гиперэкстензия;"Гиперэкстензия, техника выполнения упражнения";table_120;1;exact_match;Нормализованные названия совпадают полностью.;;70;33;70;спина;разгибание таза;Разгибатели позвоночника;true;"Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины)";0.782;Упражнение 1: Гиперэкстензия 4 подходов x 12 раз | Упражнение 1: Гиперэкстензия 4 подходов x 8 раз | Упражнение 1: Гиперэкстензия 4 подходов x 12 раз
Гильотина;гильотина;"Гильотина, техника выполнения упражнения";table_113;1;exact_match;Нормализованные названия совпадают полностью.;;69;41;69;грудь;горизонтальный жим;Верх груди;true;"Сгибание Зотмана, техника выполнения упражнения";0.083;Упражнение 3: Гильотина 4 подходов x 10 раз | Упражнение 3: Гильотина 4 подходов x 10 раз | Упражнение 2: Гильотина 4 подходов x 10 раз
Жим платформы на ягодицы;жим платформы на ягодицы;"Жим платформы на ягодицы, техника выполнения упражнения";table_020;1;exact_match;Нормализованные названия совпадают полностью.;;68;40;68;ягодицы;жим ногами;Большая ягодичная;true;"Жим платформы по 1 ноге, техника выполнения упражнения";0.618;Упражнение 5: Жим платформы на ягодицы 4 подходов x 8 раз | Упражнение 5: Жим платформы на ягодицы 4 подходов x 8 раз | Упражнение 3: Жим платформы на ягодицы 4 подходов x 10 раз
Подъем на бицепс широким хватом;подъем на бицепс широким хватом;"Подъем на бицепс широким хватом, техника выполнения упражнения";table_187;1;exact_match;Нормализованные названия совпадают полностью.;;67;41;67;бицепс;сгибание локтя;Внутренняя головка бицепса;true;"Подъем на бицепс обратным хватом, техника выполнения упражнения";0.729;Упражнение 6: Подъем на бицепс широким хватом 4 подходов x 10 раз | Упражнение 6: Подъем на бицепс широким хватом 4 подходов x 10 раз | Упражнение 6: Подъем на бицепс широким хватом 4 подходов x 10 раз
Тяга Ли Хэйни;тяга ли хэйни;"Тяга Ли Хэйни, техника выполнения упражнения";table_057;1;exact_match;Нормализованные названия совпадают полностью.;;67;35;67;плечи задняя дельта;разгибание плеча;Задняя дельта;true;"Тяга из ямы, техника выполнения упражнения";0.342;Упражнение 4: Тяга Ли Хэйни 4 подходов x 10 раз | Упражнение 4: Тяга Ли Хэйни 4 подходов x 10 раз | Упражнение 4: Тяга Ли Хэйни 4 подходов x 10 раз
Становая тяга сумо;становая тяга сумо;Становая тяга сумо;table_052;1;exact_match;Нормализованные названия совпадают полностью.;;65;18;65;спина;разгибание таза;Ягодицы / приводящие мышцы;true;"Становая тяга, техника выполнения упражнения";0.88;Упражнение 1: Становая тяга сумо 4 подходов x 6 раз | Упражнение 1: Становая тяга сумо 4 подходов x 6 раз | Упражнение 1: Становая тяга сумо 4 подходов x 6 раз
Подъем EZ-штанги на бицепс;подъем ez штанги на бицепс;"Подъем EZ-штанги (кривой штанги) на бицепс, техника выполнения упражнения";table_184;1;exact_match;Нормализованные названия совпадают полностью.;;64;35;64;бицепс;сгибание локтя;Бицепс;true;"Попеременный подъем на бицепс, техника выполнения упражнения";0.48;Упражнение 5: Подъем EZ-штанги на бицепс 4 подходов x 12 раз | Упражнение 5: Подъем EZ-штанги на бицепс 4 подходов x 12 раз | Упражнение 4: Подъем EZ-штанги на бицепс 4 подходов x 8 раз
Разгибание на трицепс в наклоне;разгибание на трицепс в наклоне;"Разгибание на трицепс в наклоне, техника выполнения упражнения";table_156;1;exact_match;Нормализованные названия совпадают полностью.;;61;38;61;трицепс;разгибание локтя;Трицепс;true;"Разгибание на трицепс в кроссовере, техника выполнения упражнения";0.649;Упражнение 6: Разгибание на трицепс в наклоне 4 подходов x 10 раз | Упражнение 6: Разгибание на трицепс в наклоне 4 подходов x 10 раз | Упражнение 6: Разгибание на трицепс в наклоне 4 подходов x 10 раз
Разгибание на трицепс по одной руке в кроссовере;разгибание на трицепс по одной руке в кроссовере;"Разгибание на трицепс по одной руке в кроссовере, техника выполнения упражнения";table_132;1;exact_match;Нормализованные названия совпадают полностью.;;61;38;61;трицепс;разгибание локтя;Трицепс;true;"Разгибание на трицепс в кроссовере, техника выполнения упражнения";0.624;Упражнение 4: Разгибание на трицепс по одной руке в кроссовере 4 подходов x 10 раз | Упражнение 4: Разгибание на трицепс по одной руке в кроссовере 4 подходов x 10 раз | Упражнение 4: Разгибание на трицепс по одной руке в кроссовере 4 подходов x 10 раз
Сгибание ног лежа;сгибание ног лежа;"Сгибание ног лёжа, техника выполнения упражнения";table_037;1;exact_match;Нормализованные названия совпадают полностью.;;61;29;61;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;"Сгибание ног сидя, техника выполнения упражнения";0.649;Упражнение 3: Сгибание ног лежа 4 подходов x 15 раз | Упражнение 3: Сгибание ног лежа 4 подходов x 15 раз | Упражнение 3: Сгибание ног лежа 4 подходов x 15 раз
Подъемы ног на скамье для пресса;подъемы ног на скамье для пресса;"Подъемы ног на скамье для пресса, техника выполнения упражнения";table_087;1;exact_match;Нормализованные названия совпадают полностью.;;59;27;59;пресс;подъем ног;Нижний пресс;true;"Подъемы ног на пресс, техника выполнения упражнения";0.722;Упражнение 5: Подъемы ног на скамье для пресса 4 подходов x 15 раз | Упражнение 4: Подъемы ног на скамье для пресса 4 подходов x 15 раз | Упражнение 4: Подъемы ног на скамье для пресса 4 подходов x 15 раз
Бицепс с гантелью на скамье Скотта;бицепс с гантелью на скамье скотта;"Бицепс с гантелью на скамье скотта, техника выполнения упражнения";table_164;1;exact_match;Нормализованные названия совпадают полностью.;;56;29;56;бицепс;сгибание локтя;Бицепс;true;"Бицепс со штангой в скамье скотта, техника выполнения упражнения";0.705;Упражнение 5: Бицепс с гантелью на скамье Скотта 4 подходов x 8 раз | Упражнение 5: Бицепс с гантелью на скамье Скотта 4 подходов x 8 раз | Упражнение 5: Бицепс с гантелью на скамье Скотта 4 подходов x 10 раз
Динамическая планка на косые мышцы;динамическая планка на косые мышцы;"Динамическая планка на косые мышцы, техника выполнения упражнения";table_104;1;exact_match;Нормализованные названия совпадают полностью.;;56;28;56;пресс;стабилизация;Косые мышцы живота;true;"Классическая планка, техника выполнения упражнения";0.274;Упражнение 4: Динамическая планка на косые мышцы 4 подходов x 45 сек | Упражнение 4: Динамическая планка на косые мышцы 4 подходов x 45 сек | Упражнение 4: Динамическая планка на косые мышцы 4 подходов x 45 сек
Тяга из-за головы в кроссовере на трицепс.;тяга из за головы в кроссовере на трицепс;"Тяга из-за головы в кроссовере на трицепс, техника выполнения упражнения";table_134;1;exact_match;Нормализованные названия совпадают полностью.;;55;27;55;трицепс;разгибание локтя;Трицепс;true;"Тяга к подбородку в кроссовере, техника выполнения упражнения";0.474;Упражнение 5: Тяга из-за головы в кроссовере на трицепс. 4 подходов x 15 раз | Упражнение 5: Тяга из-за головы в кроссовере на трицепс. 4 подходов x 15 раз | Упражнение 6: Тяга из-за головы в кроссовере на трицепс. 4 подходов x 10 раз
Фронтальные махи со штангой стоя;фронтальные махи со штангой стоя;"Фронтальные махи со штангой стоя, техника выполнения упражнения";table_080;1;exact_match;Нормализованные названия совпадают полностью.;;55;29;55;плечи передняя дельта;сгибание плеча;Передняя дельта;true;"Фронтальные махи с гантелями, техника выполнения упражнения";0.511;Упражнение 5: Фронтальные махи со штангой стоя 4 подходов x 10 раз | Упражнение 5: Фронтальные махи со штангой стоя 4 подходов x 10 раз | Упражнение 5: Фронтальные махи со штангой стоя 4 подходов x 10 раз
G-жим;g жим;"G-жим, техника выполнения упражнения";table_157;1;exact_match;Нормализованные названия совпадают полностью.;;55;34;55;трицепс;разгибание локтя;Трицепс;true;"Армейский жим, техника выполнения упражнения";0.731;Упражнение 7: G-жим 4 подходов x 10 раз | Упражнение 7: G-жим 4 подходов x 10 раз | Упражнение 5: G-жим 4 подходов x 12 раз
Жим с пола узким хватом;жим с пола узким хватом;"Жим с пола узким хватом, техника выполнения упражнения";table_155;1;exact_match;Нормализованные названия совпадают полностью.;;54;33;54;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим штанги узким хватом, техника выполнения упражнения";0.713;Упражнение 4: Жим с пола узким хватом 4 подходов x 8 раз | Упражнение 4: Жим с пола узким хватом 4 подходов x 8 раз | Упражнение 4: Жим с пола узким хватом 4 подходов x 8 раз
Ягодицы в тренажере;ягодицы в тренажере;"Ягодицы в тренажере, техника выполнения упражнения";table_115;1;exact_match;Нормализованные названия совпадают полностью.;;53;32;53;ягодицы;разгибание бедра;Большая ягодичная;true;"Т-тяга в тренажёре, техника выполнения упражнения";0.49;Упражнение 3: Ягодицы в тренажере 4 подходов x 10 раз | Упражнение 3: Ягодицы в тренажере 4 подходов x 10 раз | Упражнение 3: Ягодицы в тренажере 4 подходов x 10 раз
Ягодичный мост со штангой;ягодичный мост со штангой;"Ягодичный мост со штангой, техника выполнения упражнения";table_045;1;exact_match;Нормализованные названия совпадают полностью.;;51;24;51;ягодицы;разгибание таза;Большая ягодичная;true;"Ягодичный мост в смитте, техника выполнения упражнения";0.622;Упражнение 3: Ягодичный мост со штангой 4 подходов x 20 раз | Упражнение 2: Ягодичный мост со штангой 4 подходов x 10 раз | Упражнение 3: Ягодичный мост со штангой 4 подходов x 8 раз
Жим гантелей сидя;жим гантелей сидя;"Жим гантелей сидя, техника выполнения упражнения";table_062;1;exact_match;Нормализованные названия совпадают полностью.;;50;27;50;плечи;вертикальный жим;Передняя / средняя дельта;true;"Жим гантелей лёжа, техника выполнения упражнения";0.649;Упражнение 6: Жим гантелей сидя 4 подходов x 10 раз | Упражнение 6: Жим гантелей сидя 4 подходов x 10 раз | Упражнение 6: Жим гантелей сидя 4 подходов x 10 раз
Подтягивания широким хватом;подтягивания широким хватом;"Подтягивания широким хватом, техника выполнения упражнения";table_070;1;exact_match;Нормализованные названия совпадают полностью.;;48;25;46;спина;вертикальная тяга;Широчайшие;true;"Подтягивания в гравитроне широким хватом, техника выполнения упражнения";0.87;Упражнение 3: Подтягивания широким хватом 4 подходов x 8 раз | Упражнение 3: Подтягивания широким хватом 4 подходов x 8 раз | Упражнение 3: Подтягивания широким хватом 4 подходов x 8 раз
Прямые скручивания с мячом;прямые скручивания с мячом;"Прямые скручивания с мячом, техника выполнения упражнения";table_096;1;exact_match;Нормализованные названия совпадают полностью.;;47;24;47;пресс;скручивание;Прямая мышца живота;true;"Косые скручивания с мячом, техника выполнения упражнения";0.667;Упражнение 5: Прямые скручивания с мячом 4 подходов x 15 раз | Упражнение 5: Прямые скручивания с мячом 4 подходов x 15 раз | Упражнение 4: Прямые скручивания с мячом 4 подходов x 10 раз
Гибридная тяга;гибридная тяга;"Гибридная тяга, техника выполнения упражнения";table_071;1;exact_match;Нормализованные названия совпадают полностью.;;45;27;45;спина;горизонтальная тяга;Верх спины;true;"Мёртвая тяга, техника выполнения упражнения";0.477;Упражнение 3: Гибридная тяга 4 подходов x 10 раз | Упражнение 3: Гибридная тяга 4 подходов x 10 раз | Упражнение 3: Гибридная тяга 4 подходов x 12 раз
Отжимания узким хватом;отжимания узким хватом;"Отжимания узким хватом, техника выполнения упражнения";table_153;1;exact_match;Нормализованные названия совпадают полностью.;;45;18;45;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим штанги узким хватом, техника выполнения упражнения";0.611;Упражнение 5: Отжимания узким хватом 4 подходов x 8 раз | Упражнение 5: Отжимания узким хватом 4 подходов x 8 раз | Упражнение 5: Отжимания узким хватом 4 подходов x 12 раз
Классическая планка;классическая планка;"Классическая планка, техника выполнения упражнения";table_102;1;exact_match;Нормализованные названия совпадают полностью.;;44;24;44;пресс;стабилизация;Кор;true;"Динамическая планка на косые мышцы, техника выполнения упражнения";0.41;Упражнение 6: Классическая планка 4 подходов x 30 сек | Упражнение 6: Классическая планка 4 подходов x 30 сек | Упражнение 6: Классическая планка 4 подходов x 45 сек
Концентрированный подъем на бицепс;концентрированный подъем на бицепс;"Концентрированный подъем на бицепс, техника выполнения упражнения";table_181;1;exact_match;Нормализованные названия совпадают полностью.;;43;22;43;бицепс;сгибание локтя;Бицепс;true;"Попеременный подъем на бицепс, техника выполнения упражнения";0.636;Упражнение 5: Концентрированный подъем на бицепс 4 подходов x 10 раз | Упражнение 5: Концентрированный подъем на бицепс 4 подходов x 10 раз | Упражнение 5: Концентрированный подъем на бицепс 4 подходов x 15 раз
Изодинамический жим гантелей на 30* скамье;изодинамический жим гантелей на 30 скамье;"Изодинамический жим гантелей на 30* скамье, техника выполнения упражнения";table_017;1;exact_match;Нормализованные названия совпадают полностью.;;42;27;42;грудь;горизонтальный жим;Верх груди;true;"Жим гантелей на 30* скамье, техника выполнения упражнения";0.88;Упражнение 1: Изодинамический жим гантелей на 30* скамье 4 подходов x 12 раз | Упражнение 1: Изодинамический жим гантелей на 30* скамье 4 подходов x 12 раз | Упражнение 2: Изодинамический жим гантелей на 30* скамье 4 подходов x 8 раз
Жим ногами с параллельной постановкой ног;жим ногами с параллельной постановкой ног;"Жим ногами с параллельной постановкой ног, техника выполнения упражнения";table_033;1;exact_match;Нормализованные названия совпадают полностью.;;37;23;37;ноги;жим ногами;Квадрицепс;true;"Жим ногами, техника выполнения упражнения";0.88;Упражнение 5: Жим ногами с параллельной постановкой ног 4 подходов x 12 раз | Упражнение 5: Жим ногами с параллельной постановкой ног 4 подходов x 12 раз | Упражнение 5: Жим ногами с параллельной постановкой ног 4 подходов x 12 раз
Французский жим гантели стоя;французский жим гантели стоя;"Французский жим гантели стоя, техника выполнения упражнения";table_141;1;exact_match;Нормализованные названия совпадают полностью.;;36;24;36;трицепс;разгибание локтя;Трицепс;true;"Французский жим с гантелями, техника выполнения упражнения";0.742;Упражнение 5: Французский жим гантели стоя 4 подходов x 12 раз | Упражнение 5: Французский жим гантели стоя 4 подходов x 12 раз | Упражнение 5: Французский жим гантели стоя 4 подходов x 12 раз
Калифорнийский жим в смитте;калифорнийский жим в смитте;"Калифорнийский жим, в смитте, техника выполнения упражнения";table_131;1;exact_match;Нормализованные названия совпадают полностью.;;33;22;33;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим в смитте, техника выполнения упражнения";0.88;Упражнение 4: Калифорнийский жим в смитте 4 подходов x 12 раз | Упражнение 4: Калифорнийский жим в смитте 4 подходов x 12 раз | Упражнение 5: Калифорнийский жим в смитте 4 подходов x 8 раз
Тяга гирь к поясу;тяга гирь к поясу;"Тяга гирь к поясу, техника выполнения упражнения";table_074;1;exact_match;Нормализованные названия совпадают полностью.;;33;23;33;спина;горизонтальная тяга;Верх спины;true;"Тяга гантели к поясу, техника выполнения упражнения";0.635;Упражнение 3: Тяга гирь к поясу 4 подходов x 8 раз | Упражнение 3: Тяга гирь к поясу 4 подходов x 8 раз | Упражнение 2: Тяга гирь к поясу 4 подходов x 12 раз
Подтягивания в гравитроне параллельным хватом;подтягивания в гравитроне параллельным хватом;"Подтягивания в гравитроне параллельным хватом, техника выполнения упражнения";table_082;1;exact_match;Нормализованные названия совпадают полностью.;;32;21;32;спина;вертикальная тяга;Широчайшие / бицепс;true;"Подтягивания параллельным хватом, техника выполнения упражнения";0.741;Упражнение 2: Подтягивания в гравитроне параллельным хватом 4 подходов x 12 раз | Упражнение 2: Подтягивания в гравитроне параллельным хватом 4 подходов x 12 раз | Упражнение 2: Подтягивания в гравитроне параллельным хватом 4 подходов x 12 раз
Жим Арнольда;жим арнольда;"Жим Арнольда, техника выполнения упражнения";table_061;1;exact_match;Нормализованные названия совпадают полностью.;;31;19;31;плечи;вертикальный жим;Передняя / средняя дельта;true;"Жим ногами, техника выполнения упражнения";0.461;Упражнение 5: Жим Арнольда 4 подходов x 10 раз | Упражнение 5: Жим Арнольда 4 подходов x 10 раз | Упражнение 5: Жим Арнольда 4 подходов x 10 раз
"Махи на плечи в кроссовере, тросс сзади.";махи на плечи в кроссовере тросс сзади;"Махи на плечи в кроссовере, тросс сзади. Техника выполнения упражнения";table_058;1;exact_match;Нормализованные названия совпадают полностью.;;31;15;27;плечи средняя дельта;отведение плеча;Средняя дельта;true;"Махи на ягодицы в кроссовере, техника выполнения упражнения";0.412;"Упражнение 5: Махи на плечи в кроссовере, тросс сзади. 4 подходов x 15 раз | Упражнение 5: Махи на плечи в кроссовере, тросс сзади. 4 подходов x 15 раз | Упражнение 5: Махи на плечи в кроссовере, тросс сзади. 4 подходов x 10 раз"
Задняя дельта в кроссовере стоя;задняя дельта в кроссовере стоя;"Задняя дельта в кроссовере стоя, техника выполнения упражнения";table_092;1;exact_match;Нормализованные названия совпадают полностью.;;28;19;28;плечи задняя дельта;разведение плеча;Задняя дельта;true;"Бабочка на заднюю дельту в кроссовере, техника выполнения упражнения";0.458;Упражнение 5: Задняя дельта в кроссовере стоя 4 подходов x 10 раз | Упражнение 5: Задняя дельта в кроссовере стоя 4 подходов x 10 раз | Упражнение 5: Задняя дельта в кроссовере стоя 4 подходов x 10 раз
Жим ногами;жим ногами;"Жим ногами, техника выполнения упражнения";table_028;1;exact_match;Нормализованные названия совпадают полностью.;;27;17;27;ноги;жим ногами;Квадрицепс;true;"Горизонтальный жим ногами, техника выполнения упражнения";0.92;Упражнение 4: Жим ногами 4 подходов x 12 раз | Упражнение 4: Жим ногами 4 подходов x 8 раз | Упражнение 4: Жим ногами 4 подходов x 12 раз
Подтягивания в гравитроне широким хватом;подтягивания в гравитроне широким хватом;"Подтягивания в гравитроне широким хватом, техника выполнения упражнения";table_083;1;exact_match;Нормализованные названия совпадают полностью.;;27;17;27;спина;вертикальная тяга;Широчайшие;true;"Подтягивания в гравитроне обратным хватом, техника выполнения упражнения";0.738;Упражнение 2: Подтягивания в гравитроне широким хватом 4 подходов x 12 раз | Упражнение 2: Подтягивания в гравитроне широким хватом 4 подходов x 12 раз | Упражнение 2: Подтягивания в гравитроне широким хватом 4 подходов x 12 раз
Подтягивания обратным хватом;подтягивания обратным хватом;"Подтягивания обратным хватом, техника выполнения упражнения";table_068;1;exact_match;Нормализованные названия совпадают полностью.;;27;16;27;спина;вертикальная тяга;Широчайшие / бицепс;true;"Подтягивания в гравитроне обратным хватом, техника выполнения упражнения";0.872;Упражнение 3: Подтягивания обратным хватом 4 подходов x 12 раз | Упражнение 3: Подтягивания обратным хватом 4 подходов x 12 раз | Упражнение 2: Подтягивания обратным хватом 4 подходов x 12 раз
Приседания со штангой;приседания со штангой;"Приседания со штангой, техника выполнения упражнений";table_144;1;exact_match;Нормализованные названия совпадают полностью.;;27;11;27;ноги;приседание;Квадрицепс / ягодицы;true;"Приседания с паузой, техника выполнения упражнений";0.519;Упражнение 1: Приседания со штангой 4 подходов x 12 раз | Упражнение 1: Приседания со штангой 4 подходов x 12 раз | Упражнение 1: Приседания со штангой 4 подходов x 6 раз
21;21;"21, техника выполнения упражнения";table_165;1;exact_match;Нормализованные названия совпадают полностью.;;25;12;25;бицепс;сгибание локтя;Бицепс;true;"Раводка под 15*, техника выполнения упражнения";0.016;Упражнение 6: 21 4 подходов x 21 раз | Упражнение 6: 21 4 подходов x 21 раз | Упражнение 6: 21 4 подходов x 21 раз
Жим в смитте;жим в смитте;"Жим в смитте, техника выполнения упражнения";table_011;1;exact_match;Нормализованные названия совпадают полностью.;;24;15;24;грудь;горизонтальный жим;Средняя грудь;true;"Калифорнийский жим, в смитте, техника выполнения упражнения";0.92;Упражнение 1: Жим в смитте 4 подходов x 12 раз | Упражнение 1: Жим в смитте 4 подходов x 12 раз | Упражнение 1: Жим в смитте 4 подходов x 12 раз
Французский жим лёжа;французский жим лежа;"Французский жим лежа, техника выполнения упражнения";table_162;1;exact_match;Нормализованные названия совпадают полностью.;;23;15;23;трицепс;разгибание локтя;Трицепс;true;"Французский жим стоя, техника выполнения упражнения";0.657;Упражнение 4: Французский жим лёжа 4 подходов x 12 раз | Упражнение 4: Французский жим лёжа 4 подходов x 12 раз | Упражнение 4: Французский жим лёжа 4 подходов x 12 раз
Подъем на бицепс в тренажере для гребной тяги;подъем на бицепс в тренажере для гребной тяги;"Подъем на бицепс в тренажёре для гребной тяги, техника выполнения упражнения";table_169;1;exact_match;Нормализованные названия совпадают полностью.;;22;14;22;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс гантелей стоя, техника выполнения упражнения";0.398;Упражнение 4: Подъем на бицепс в тренажере для гребной тяги 4 подходов x 15 раз | Упражнение 4: Подъем на бицепс в тренажере для гребной тяги 4 подходов x 15 раз | Упражнение 4: Подъем на бицепс в тренажере для гребной тяги 4 подходов x 10 раз
Жим узким хватом в смитте;жим узким хватом в смитте;"Жим узким хватом в смитте, техника выполнения упражнения";table_129;1;exact_match;Нормализованные названия совпадают полностью.;;21;12;21;трицепс;горизонтальный жим;Трицепс / грудь;true;"Жим с пола узким хватом, техника выполнения упражнения";0.629;Упражнение 4: Жим узким хватом в смитте 4 подходов x 8 раз | Упражнение 4: Жим узким хватом в смитте 4 подходов x 8 раз | Упражнение 4: Жим узким хватом в смитте 4 подходов x 8 раз
Зашагивания на тумбу;зашагивания на тумбу;"Зашагивания на тумбу, техника выполнения упражнения";table_012;1;exact_match;Нормализованные названия совпадают полностью.;;19;15;19;ноги ягодицы;зашагивание;Ягодицы / квадрицепс;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.351;Упражнение 2: Зашагивания на тумбу 4 подходов x 8 раз | Упражнение 5: Зашагивания на тумбу 4 подходов x 12 раз | Упражнение 5: Зашагивания на тумбу 4 подходов x 12 раз
